agent_id,n_preferences,n_evaluated_preferences,accuracy,baseline_accuracy
23480,9,9,1.0,0.5555555555555556
23497,9,9,0.7777777777777778,0.5555555555555556
23507,9,9,0.0,0.5555555555555556
23586,9,9,0.5555555555555556,0.5555555555555556
23629,9,9,1.0,0.5555555555555556
23885,9,9,1.0,0.7777777777777778
23934,9,9,1.0,0.5555555555555556
23939,9,9,0.6666666666666666,0.5555555555555556
24281,9,9,0.5555555555555556,0.7777777777777778
24286,9,9,0.8888888888888888,0.7777777777777778
2439,9,9,0.7777777777777778,0.5555555555555556
24440,9,9,0.6666666666666666,0.5555555555555556
24487,9,9,0.7777777777777778,0.6666666666666666
24525,9,9,0.0,0.5555555555555556
24627,9,9,0.5555555555555556,0.7777777777777778
24785,9,9,0.6666666666666666,0.5555555555555556
25041,9,9,0.2222222222222222,0.5555555555555556
25043,9,9,0.2222222222222222,0.5555555555555556
5641,9,9,0.7777777777777778,0.5555555555555556
73901,9,9,0.8888888888888888,0.5555555555555556
75131,9,9,0.8888888888888888,0.5555555555555556
76584,9,9,0.5555555555555556,0.6666666666666666
76862,9,9,0.4444444444444444,0.5555555555555556
77558,9,9,0.8888888888888888,0.5555555555555556
77581,9,9,0.7777777777777778,0.7777777777777778
77919,9,9,1.0,0.6666666666666666
78194,9,9,0.5555555555555556,0.5555555555555556
78677,9,9,0.4444444444444444,0.5555555555555556
79045,9,9,0.5555555555555556,0.6666666666666666
79386,9,9,0.7777777777777778,0.5555555555555556
79809,9,9,0.4444444444444444,0.5555555555555556
80438,9,9,0.6666666666666666,0.5555555555555556
80546,9,9,0.8888888888888888,0.5555555555555556
80781,9,9,0.5555555555555556,0.5555555555555556
81503,9,9,0.7777777777777778,0.6666666666666666
82028,9,9,0.7777777777777778,0.7777777777777778
82040,9,9,0.7777777777777778,0.5555555555555556
82401,9,9,0.8888888888888888,0.6666666666666666
82559,9,9,0.7777777777777778,0.5555555555555556
82613,9,9,0.7777777777777778,0.7777777777777778
84197,9,9,0.8888888888888888,0.5555555555555556
84391,9,9,0.0,0.5555555555555556
84392,9,9,0.8888888888888888,0.7777777777777778
84525,9,9,0.7777777777777778,0.7777777777777778
9364,9,9,0.7777777777777778,0.6666666666666666
